study_word	study_cue	study_instruction
INDEX	Plus.png	prod
NARROW	Check.png	check
FRONT	Exes.png	silent
GRASS	Plus.png	prod
GENERAL	Check.png	check
KITCHEN	Plus.png	prod
UTILITY	Check.png	check
JOINT	Check.png	check
QUIET	Check.png	check
DESIGN	Check.png	check
YIELD	Check.png	check
CUSTOMER	Check.png	check
KNOCK	Check.png	check
DEPOT	Exes.png	silent
GATE	Exes.png	silent
LENS	Check.png	check
QUOTE	Check.png	check
WISE	Exes.png	silent
ZONE	Check.png	check
QUESTION	Exes.png	silent
MORAL	Check.png	check
EQUAL	Plus.png	prod
CREST	Check.png	check
MYSTERY	Exes.png	silent
USAGE	Exes.png	silent
ILLUSION	Exes.png	silent
CURTAIN	Plus.png	prod
INTERVAL	Plus.png	prod
DEAR	Check.png	check
RAID	Check.png	check
LAUGH	Plus.png	prod
IRONY	Exes.png	silent
GATHER	Check.png	check
KIND	Plus.png	prod
GRADIENT	Exes.png	silent
DEAL	Check.png	check
UPPER	Plus.png	prod
HANDLE	Plus.png	prod
KNIGHT	Check.png	check
WOOL	Plus.png	prod
LABEL	Exes.png	silent
LAUNCH	Check.png	check
MUSCLE	Check.png	check
GROUND	Check.png	check
MOVE	Plus.png	prod
DETAIL	Exes.png	silent
GAZE	Plus.png	prod
EDITION	Check.png	check
LAWN	Plus.png	prod
WRONG	Check.png	check
ABSTRACT	Plus.png	prod
ACID	Plus.png	prod
ELEVATOR	Plus.png	prod
FRUIT	Exes.png	silent
OPERA	Exes.png	silent
CURRENCY	Plus.png	prod
OPINION	Exes.png	silent
JOURNEY	Plus.png	prod
NECK	Check.png	check
INFANT	Check.png	check
AMOUNT	Exes.png	silent
SWIFT	Check.png	check
JURY	Plus.png	prod
IMPULSE	Check.png	check
NERVE	Plus.png	prod
ORDER	Plus.png	prod
NAME	Exes.png	silent
VENT	Exes.png	silent
PAPER	Plus.png	prod
DEAN	Exes.png	silent
MONUMENT	Check.png	check
GRADE	Exes.png	silent
GOLF	Exes.png	silent
ACTOR	Exes.png	silent
NOISE	Exes.png	silent
YARN	Plus.png	prod
VECTOR	Plus.png	prod
JUMP	Exes.png	silent
NATION	Check.png	check
DELAY	Exes.png	silent
LIFT	Plus.png	prod
JUDGE	Plus.png	prod
PASSION	Plus.png	prod
REAL	Exes.png	silent
LAMP	Check.png	check
RAIL	Plus.png	prod
QUALITY	Exes.png	silent
TAIL	Exes.png	silent
GAIN	Plus.png	prod
INCOME	Check.png	check
ANIMAL	Exes.png	silent
ABSENCE	Plus.png	prod
ACADEMY	Check.png	check
URGENCY	Plus.png	prod
TACTICS	Plus.png	prod
DEFEAT	Exes.png	silent
CURRENT	Plus.png	prod
GIANT	Check.png	check
RACE	Plus.png	prod
ZINC	Exes.png	silent
CROP	Plus.png	prod
OFFICER	Plus.png	prod
DICE	Plus.png	prod
PROSE	Exes.png	silent
CASH	Exes.png	silent
WRITING	Exes.png	silent
GHOST	Exes.png	silent
LATIN	Exes.png	silent
ADDITION	Exes.png	silent
MYTH	Check.png	check
LACK	Check.png	check
VARIABLE	Exes.png	silent
ZERO	Check.png	check
RABBIT	Plus.png	prod
EDGE	Check.png	check
TALENT	Check.png	check
CANDY	Exes.png	silent
JUSTICE	Check.png	check
LEAD	Plus.png	prod
HARVEST	Exes.png	silent
