study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
ABSTRACT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
INDEX	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
LAWN	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
ADDITION	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
KIND	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
GATE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
DEAL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
QUIET	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
USAGE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
MORAL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
CURRENT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
OFFICER	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
CASH	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
LAUGH	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
CURRENCY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
EQUAL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
JUMP	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
IRONY	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
CREST	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
PAPER	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
UTILITY	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
ORDER	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
INFANT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
FRONT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
WOOL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
LABEL	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
GROUND	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
LIFT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
GATHER	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
NERVE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
PASSION	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
ACTOR	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
ILLUSION	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JOKE	New	new	'	-1	-1	-1
