study_word	study_cue	study_instruction
GHOST	Exes.png	silent
ZERO	Check.png	check
EDITION	Check.png	check
GAZE	Plus.png	prod
NOISE	Exes.png	silent
DETAIL	Exes.png	silent
ACID	Plus.png	prod
TALENT	Check.png	check
GAIN	Plus.png	prod
ABSTRACT	Plus.png	prod
USAGE	Exes.png	silent
ACTOR	Exes.png	silent
LAWN	Plus.png	prod
NAME	Exes.png	silent
WOOL	Plus.png	prod
KNIGHT	Check.png	check
ACADEMY	Check.png	check
VECTOR	Plus.png	prod
LAUNCH	Check.png	check
DESIGN	Check.png	check
PROSE	Exes.png	silent
LENS	Check.png	check
JUMP	Exes.png	silent
FRONT	Exes.png	silent
UTILITY	Check.png	check
MOVE	Plus.png	prod
CURRENCY	Plus.png	prod
CUSTOMER	Check.png	check
CURRENT	Plus.png	prod
HANDLE	Plus.png	prod
CROP	Plus.png	prod
KIND	Plus.png	prod
CREST	Check.png	check
DEAR	Check.png	check
TAIL	Exes.png	silent
NERVE	Plus.png	prod
FRUIT	Exes.png	silent
PASSION	Plus.png	prod
MUSCLE	Check.png	check
ANIMAL	Exes.png	silent
NARROW	Check.png	check
GRADIENT	Exes.png	silent
LAMP	Check.png	check
KNOCK	Check.png	check
URGENCY	Plus.png	prod
TACTICS	Plus.png	prod
INFANT	Check.png	check
GOLF	Exes.png	silent
LIFT	Plus.png	prod
REAL	Exes.png	silent
LATIN	Exes.png	silent
HARVEST	Exes.png	silent
RAID	Check.png	check
GATHER	Check.png	check
WRITING	Exes.png	silent
INDEX	Plus.png	prod
GRASS	Plus.png	prod
ABSENCE	Plus.png	prod
ELEVATOR	Plus.png	prod
LACK	Check.png	check
VENT	Exes.png	silent
ADDITION	Exes.png	silent
WISE	Exes.png	silent
CASH	Exes.png	silent
MYTH	Check.png	check
ZINC	Exes.png	silent
ILLUSION	Exes.png	silent
NECK	Check.png	check
OPINION	Exes.png	silent
GATE	Exes.png	silent
YARN	Plus.png	prod
QUALITY	Exes.png	silent
SWIFT	Check.png	check
INCOME	Check.png	check
DEFEAT	Exes.png	silent
LABEL	Exes.png	silent
GROUND	Check.png	check
JUSTICE	Check.png	check
YIELD	Check.png	check
DEAN	Exes.png	silent
QUOTE	Check.png	check
IMPULSE	Check.png	check
EQUAL	Plus.png	prod
DEPOT	Exes.png	silent
JOURNEY	Plus.png	prod
GRADE	Exes.png	silent
IRONY	Exes.png	silent
KITCHEN	Plus.png	prod
WRONG	Check.png	check
JURY	Plus.png	prod
RABBIT	Plus.png	prod
DELAY	Exes.png	silent
LAUGH	Plus.png	prod
AMOUNT	Exes.png	silent
RACE	Plus.png	prod
RAIL	Plus.png	prod
OFFICER	Plus.png	prod
MORAL	Check.png	check
DICE	Plus.png	prod
UPPER	Plus.png	prod
EDGE	Check.png	check
OPERA	Exes.png	silent
MYSTERY	Exes.png	silent
GIANT	Check.png	check
LEAD	Plus.png	prod
CURTAIN	Plus.png	prod
JUDGE	Plus.png	prod
ORDER	Plus.png	prod
PAPER	Plus.png	prod
QUIET	Check.png	check
QUESTION	Exes.png	silent
INTERVAL	Plus.png	prod
VARIABLE	Exes.png	silent
MONUMENT	Check.png	check
CANDY	Exes.png	silent
NATION	Check.png	check
JOINT	Check.png	check
DEAL	Check.png	check
GENERAL	Check.png	check
ZONE	Check.png	check
