study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
LAUNCH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
YARN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
CURRENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
RACE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
CURRENT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
IMPULSE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
VECTOR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
ELEVATOR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
CANDY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
NAME	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
YIELD	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
MYSTERY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
INFANT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
KITCHEN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
CURTAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
INCOME	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
LIFT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
AMOUNT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
LAWN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
GRADIENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
CREST	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
OPINION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
ZONE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
GRASS	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
HANDLE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
URGENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
ACTOR	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
JUMP	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
JUSTICE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
GROUND	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
NERVE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
LAMP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
REAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
FRUIT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
NARROW	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
HARVEST	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
CASH	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
OFFICER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
USAGE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
GENERAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
DELAY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
LAUGH	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
WRONG	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
JOINT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
JURY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
ABSTRACT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
MORAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
SWIFT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
LEAD	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
VENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
NATION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
ACID	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	prod
DESIGN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	check
ADDITION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DECADE	New	new	'	-1	-1	-1	silent
