study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
ILLUSION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
ZINC	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
GAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
LAMP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
SWIFT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
LAUGH	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
DESIGN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
REAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
YIELD	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
CASH	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
QUALITY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
OPINION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
LIFT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
MORAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
WISE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
GRASS	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
VECTOR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
ADDITION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
CROP	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
GRADIENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
EDGE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
INCOME	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
KNIGHT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
KITCHEN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
DEAR	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
GAZE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
ZONE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
LEAD	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
GATE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
IMPULSE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
ABSTRACT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
DEAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
NOISE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
AMOUNT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
WOOL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
JOINT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
RABBIT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
RACE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
