study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
WORD	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
WOOL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
NERVE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
PATROL	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
GUEST	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
INTERVAL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
JEAN	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
FUTURE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
YARN	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
VEHICLE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
CURTAIN	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
GRAPH	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
ORDER	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
SURFACE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
CROP	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
LEAGUE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
GOSSIP	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
PART	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
CROSS	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
LIFT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
DENTAL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
VACUUM	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
ABSENCE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
TANK	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
LEASE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
OFFICER	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
JOKE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
GENIUS	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
QUARTER	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
PASSIVE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
ADVICE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
OCEAN	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
SURPRISE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
ELITE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
ELBOW	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAL	New	new	'	-1	-1	-1
