study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
NEUTRAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
GOSPEL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
SWIFT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
EDGE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
SURPRISE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
NARROW	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
DECADE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
NEON	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
GLOBE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
MONUMENT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
FRAME	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
MYTH	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
TABLE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
GOWN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
KNIGHT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
CREST	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
ABANDON	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
IMPULSE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
VERSE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
ACADEMY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
INCOME	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
UTILITY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
WORD	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
FAIR	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
GIANT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
LEMON	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
ZERO	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
LAWYER	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
IMPACT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
MOUTH	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
JUNIOR	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
MORAL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
QUARTER	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
GALLERY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
LEASE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
DESIRE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
GATHER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
RADAR	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
ISLAND	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
WRONG	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
UNIT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
NATION	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
ITEM	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
NEEDLE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
ELITE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
JAZZ	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
JAIL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
SURFACE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
OCCASION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
JOURNAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
DENTAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
INFANT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
VEHICLE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
JEAN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
MUSICIAN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
KNOCK	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
GANG	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
QUIET	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
LENS	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
SYMPHONY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
DEBT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
ZONE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
ONSET	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
DEAR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
CROSS	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
TALENT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
JOKE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
INPUT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
GENIUS	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
ADVICE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
DESIGN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
GOSSIP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
LACK	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
NEWS	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
VACUUM	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
DESTINY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
GRAB	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
WOOD	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
TANK	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
MUSCLE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
DEPTH	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
JOINT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
GRAPH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
YIELD	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
JUSTICE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
GENERAL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
HAIR	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
RAIN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
QUOTE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	prod
UPRIGHT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
PATROL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
PART	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
ECONOMY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	silent
PASSIVE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	NEWS	Check.png	check	'	-1	-1	-1	check
