study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
PARK	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
DECADE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
LEMON	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	check
DEAL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
INFANT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
NARROW	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
GRAB	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	check
VERSE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	check
UPRIGHT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
FUTURE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
DENTAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
MONUMENT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
LEASE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	check
VEHICLE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
UTILITY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
ABANDON	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
HAIR	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
IMPACT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	check
DEAR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
GLOBE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	silent
YIELD	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
KNIGHT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEPTH	Exes.png	silent	'	-1	-1	-1	prod
