study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
HARVEST	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
VECTOR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
PROSE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
MORAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
RAIL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
TACTICS	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
ELEVATOR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
ADDITION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
MONUMENT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
LAMP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
NAME	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
YIELD	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
GAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
DEAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
ABSENCE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
PASSION	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
OPINION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
RAID	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
QUALITY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
KNOCK	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
DICE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
ZINC	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
LEAD	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
JURY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
GIANT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
INDEX	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
CURRENT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	prod
FRUIT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
GRADE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
VENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
INCOME	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	check
OPERA	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DESTINY	New	new	'	-1	-1	-1	silent
