study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
ACADEMY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
GRADE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
SWIFT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
NAME	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
WRITING	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
CURRENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
MORAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
NARROW	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
VENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
LENS	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
DEAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
DESIGN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
LAUNCH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
DEPOT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
GATE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
MYTH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
GIANT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
FRUIT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
DEAN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
ABSENCE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
GRASS	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
LAUGH	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
HANDLE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
TAIL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
ACID	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
NOISE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
JURY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
RACE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
GOLF	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
LEAD	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
YIELD	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
ADDITION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
WRONG	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
EDITION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
MOVE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
ANIMAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
LAMP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
IRONY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
LABEL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
GRADIENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
CANDY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
USAGE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
QUOTE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
ZINC	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
QUIET	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
URGENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
ABSTRACT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
JUMP	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
GHOST	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
INFANT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
ILLUSION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
MONUMENT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
ZONE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	check
DEFEAT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
GAZE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
FRONT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	silent
GAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JAZZ	New	new	'	-1	-1	-1	prod
