study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
GATE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
CURTAIN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
KIND	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
IRONY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
NEEDLE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
DEBT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
DICE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
QUESTION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
GALLERY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
IMPACT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
GRAB	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
KINGDOM	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
LEAD	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
DESTINY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
PASSION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
LIFT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
ILLUSION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
CASH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
LATIN	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
GRADE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
VECTOR	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
RADAR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
DELAY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
OPERA	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
MUSICIAN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
GRAPH	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
JAIL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
ANIMAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
WINDOW	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
ISLAND	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
GAZE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
JUDGE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
CURRENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
WOOL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
NERVE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
KITCHEN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
DETAIL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
CROP	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
OCCASION	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
ELEVATOR	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
FAIR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
GANG	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
TAIL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
AMOUNT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
QUEEN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
PASSIVE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
UPPER	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
JUMP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
LABEL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
WRITING	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
TABLE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
RABBIT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
WISE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
GRASS	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
PATROL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
DEPOT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
USAGE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
LEAGUE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
GOLF	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
NOISE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
PAPER	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
OPINION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
MOVE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
JOURNEY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
VERSE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
TACTICS	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
ONSET	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
GAIN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	silent
PROSE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	check
NEON	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	DEAR	New	new	'	-1	-1	-1	prod
