TRIAL_SESSION	TRIAL_INDEX_ENCODING	TRIAL_WORD_ENCODING	TRIAL_CONDITION_ENCODING	TRIAL_COLOUR_ENCODING	TRIAL_INDEX_RECOG	wordrecog_1	condition_1	correctanswer_1	KEYPRESS_RECOG	RT_RECOG
2	1	QUICK	Silent	Purple	0	STATE	old	m	.	    0.00
2	2	EXTRA	Silent	Purple	0	STATE	old	m	.	    0.00
2	3	NORTH	Silent	Purple	0	STATE	old	m	.	    0.00
2	4	GROSS	Aloud	Green	0	STATE	old	m	.	    0.00
2	5	VOICE	Aloud	Green	0	STATE	old	m	.	    0.00
2	6	RIFLE	Aloud	Green	0	STATE	old	m	.	    0.00
2	7	WAGON	Aloud	Green	0	STATE	old	m	.	    0.00
2	8	PAPER	Aloud	Green	0	STATE	old	m	.	    0.00
2	9	HEART	Aloud	Green	0	STATE	old	m	.	    0.00
2	10	MAJOR	Aloud	Green	0	STATE	old	m	.	    0.00
2	11	TEETH	Silent	Purple	0	STATE	old	m	.	    0.00
2	12	SHORT	Silent	Purple	0	STATE	old	m	.	    0.00
2	13	QUIET	Silent	Purple	0	STATE	old	m	.	    0.00
2	14	STONE	Aloud	Green	0	STATE	old	m	.	    0.00
2	15	THEME	Silent	Purple	0	STATE	old	m	.	    0.00
2	16	OFFER	Aloud	Green	0	STATE	old	m	.	    0.00
2	17	GREEK	Silent	Purple	0	STATE	old	m	.	    0.00
2	18	GLASS	Silent	Purple	0	STATE	old	m	.	    0.00
2	19	FIFTY	Aloud	Green	0	STATE	old	m	.	    0.00
2	20	MODEL	Silent	Purple	0	STATE	old	m	.	    0.00
2	21	SOUND	Silent	Purple	0	STATE	old	m	.	    0.00
2	22	LEAST	Aloud	Green	0	STATE	old	m	.	    0.00
2	23	SERVE	Silent	Purple	0	STATE	old	m	.	    0.00
2	24	EVENT	Silent	Purple	0	STATE	old	m	.	    0.00
2	25	ISSUE	Silent	Purple	0	STATE	old	m	.	    0.00
2	26	PARTY	Silent	Purple	0	STATE	old	m	.	    0.00
2	27	PHONE	Silent	Purple	0	STATE	old	m	.	    0.00
2	28	FRONT	Aloud	Green	0	STATE	old	m	.	    0.00
2	29	VISIT	Silent	Purple	0	STATE	old	m	.	    0.00
2	30	DRESS	Silent	Purple	0	STATE	old	m	.	    0.00
2	31	TRADE	Aloud	Green	0	STATE	old	m	.	    0.00
2	32	SCORE	Aloud	Green	0	STATE	old	m	.	    0.00
2	33	SLEEP	Silent	Purple	0	STATE	old	m	.	    0.00
2	34	TRAIN	Silent	Purple	0	STATE	old	m	.	    0.00
2	35	SEVEN	Aloud	Green	0	STATE	old	m	.	    0.00
2	36	THREE	Aloud	Green	0	STATE	old	m	.	    0.00
2	37	VALUE	Silent	Purple	0	STATE	old	m	.	    0.00
2	38	SMALL	Silent	Purple	0	STATE	old	m	.	    0.00
2	39	SHORE	Aloud	Green	0	STATE	old	m	.	    0.00
2	40	TOUCH	Aloud	Green	0	STATE	old	m	.	    0.00
2	41	GROUP	Aloud	Green	0	STATE	old	m	.	    0.00
2	42	SPITE	Silent	Purple	0	STATE	old	m	.	    0.00
2	43	SOLID	Silent	Purple	0	STATE	old	m	.	    0.00
2	44	NIGHT	Aloud	Green	0	STATE	old	m	.	    0.00
2	45	STATE	Aloud	Green	0	STATE	old	m	.	    0.00
2	46	JUDGE	Aloud	Green	0	STATE	old	m	.	    0.00
2	47	MORAL	Aloud	Green	0	STATE	old	m	.	    0.00
2	48	WATER	Silent	Purple	0	STATE	old	m	.	    0.00
2	49	YOUTH	Aloud	Green	0	STATE	old	m	.	    0.00
2	50	EIGHT	Aloud	Green	0	STATE	old	m	.	    0.00
2	51	ORDER	Silent	Purple	0	STATE	old	m	.	    0.00
2	52	TRIAL	Aloud	Green	0	STATE	old	m	.	    0.00
2	53	METAL	Silent	Purple	0	STATE	old	m	.	    0.00
2	54	SOUTH	Aloud	Green	0	STATE	old	m	.	    0.00
2	55	LEWIS	Silent	Purple	0	STATE	old	m	.	    0.00
2	56	INNER	Aloud	Green	0	STATE	old	m	.	    0.00
2	57	GUESS	Aloud	Green	0	STATE	old	m	.	    0.00
2	58	HOUSE	Silent	Purple	0	STATE	old	m	.	    0.00
2	59	UNITY	Silent	Purple	0	STATE	old	m	.	    0.00
2	60	RADIO	Silent	Purple	0	STATE	old	m	.	    0.00
2	61	GREEN	Aloud	Green	0	STATE	old	m	.	    0.00
2	62	WOMAN	Aloud	Green	0	STATE	old	m	.	    0.00
2	63	FRAME	Silent	Purple	0	STATE	old	m	.	    0.00
2	64	NOVEL	Aloud	Green	0	STATE	old	m	.	    0.00
2	65	LOCAL	Silent	Purple	0	STATE	old	m	.	    0.00
2	66	EQUAL	Aloud	Green	0	STATE	old	m	.	    0.00
2	67	MINOR	Aloud	Green	0	STATE	old	m	.	    0.00
2	68	PLANE	Silent	Purple	0	STATE	old	m	.	    0.00
2	69	POINT	Aloud	Green	0	STATE	old	m	.	    0.00
2	70	PLANT	Aloud	Green	0	STATE	old	m	.	    0.00
2	71	OTHER	Silent	Purple	0	STATE	old	m	.	    0.00
2	72	LIGHT	Aloud	Green	0	STATE	old	m	.	    0.00
2	73	THING	Aloud	Green	0	STATE	old	m	.	    0.00
2	74	LOUIS	Silent	Purple	0	STATE	old	m	.	    0.00
2	75	WOMEN	Aloud	Green	0	STATE	old	m	.	    0.00
2	76	SMILE	Silent	Purple	0	STATE	old	m	.	    0.00
2	77	TRUTH	Aloud	Green	0	STATE	old	m	.	    0.00
2	78	IDEAL	Silent	Purple	0	STATE	old	m	.	    0.00
2	79	IMAGE	Silent	Purple	0	STATE	old	m	.	    0.00
2	80	SPACE	Silent	Purple	0	STATE	old	m	.	    0.00
2	80	SPACE	Silent	Purple	1	STORE	new	n	n	1293
2	80	SPACE	Silent	Purple	2	EIGHT	old	m	m	825
2	80	SPACE	Silent	Purple	3	VOICE	old	m	m	920
2	80	SPACE	Silent	Purple	4	SOLID	old	m	m	571
2	80	SPACE	Silent	Purple	5	WOMAN	old	m	m	566
2	80	SPACE	Silent	Purple	6	LIGHT	old	m	m	528
2	80	SPACE	Silent	Purple	7	FIGHT	new	n	n	930
2	80	SPACE	Silent	Purple	8	SHARE	new	n	n	1119
2	80	SPACE	Silent	Purple	9	STILL	new	n	n	850
2	80	SPACE	Silent	Purple	10	TRUTH	old	m	m	600
2	80	SPACE	Silent	Purple	11	HEART	old	m	m	656
2	80	SPACE	Silent	Purple	12	START	new	n	m	1039
2	80	SPACE	Silent	Purple	13	LEWIS	old	m	m	607
2	80	SPACE	Silent	Purple	14	NOVEL	old	m	m	575
2	80	SPACE	Silent	Purple	15	SMALL	old	m	n	960
2	80	SPACE	Silent	Purple	16	VISIT	old	m	n	945
2	80	SPACE	Silent	Purple	17	SMITH	new	n	n	829
2	80	SPACE	Silent	Purple	18	SMILE	old	m	m	643
2	80	SPACE	Silent	Purple	19	GREEN	old	m	m	642
2	80	SPACE	Silent	Purple	20	ISSUE	old	m	m	952
2	80	SPACE	Silent	Purple	21	SHORE	old	m	m	554
2	80	SPACE	Silent	Purple	22	JUDGE	old	m	m	565
2	80	SPACE	Silent	Purple	23	REACH	new	n	n	840
2	80	SPACE	Silent	Purple	24	EVENT	old	m	m	894
2	80	SPACE	Silent	Purple	25	SHORT	old	m	m	963
2	80	SPACE	Silent	Purple	26	PIECE	new	n	n	844
2	80	SPACE	Silent	Purple	27	FIELD	new	n	m	756
2	80	SPACE	Silent	Purple	28	ENEMY	new	n	n	869
2	80	SPACE	Silent	Purple	29	TRUCK	new	n	n	923
2	80	SPACE	Silent	Purple	30	PLANT	old	m	m	759
2	80	SPACE	Silent	Purple	31	TRADE	old	m	m	951
2	80	SPACE	Silent	Purple	32	RANGE	new	n	n	753
2	80	SPACE	Silent	Purple	33	ORDER	old	m	m	765
2	80	SPACE	Silent	Purple	34	LEAVE	new	n	n	1261
2	80	SPACE	Silent	Purple	35	GLASS	old	m	m	652
2	80	SPACE	Silent	Purple	36	SOUND	old	m	m	1091
2	80	SPACE	Silent	Purple	37	WHITE	new	n	n	856
2	80	SPACE	Silent	Purple	38	THICK	new	n	n	1022
2	80	SPACE	Silent	Purple	39	SCENE	new	n	m	1119
2	80	SPACE	Silent	Purple	40	TRUST	new	n	n	2930
2	80	SPACE	Silent	Purple	41	UNCLE	new	n	n	1021
2	80	SPACE	Silent	Purple	42	WATER	old	m	n	940
2	80	SPACE	Silent	Purple	43	STORY	new	n	n	960
2	80	SPACE	Silent	Purple	44	TASTE	new	n	n	2849
2	80	SPACE	Silent	Purple	45	STONE	old	m	m	743
2	80	SPACE	Silent	Purple	46	GUESS	old	m	m	515
2	80	SPACE	Silent	Purple	47	NORTH	old	m	n	990
2	80	SPACE	Silent	Purple	48	IMAGE	old	m	n	831
