TRIAL_SESSION	TRIAL_INDEX_ENCODING	TRIAL_WORD_ENCODING	TRIAL_CONDITION_ENCODING	TRIAL_COLOUR_ENCODING	TRIAL_INDEX_RECOG	wordrecog_1	condition_1	correctanswer_1	KEYPRESS_RECOG	RT_RECOG
4	1	PRICE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	2	SCENE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	3	SHAPE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	4	SENSE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	5	WORLD	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	6	RIVER	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	7	UPPER	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	8	TOTAL	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	9	EARTH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	10	MOTOR	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	11	STILL	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	12	THIRD	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	13	THICK	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	14	SHARP	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	15	STAGE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	16	STAFF	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	17	WATCH	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	18	DRINK	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	19	MONEY	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	20	STORE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	21	DOZEN	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	22	STUDY	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	23	FORCE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	24	HOTEL	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	25	TASTE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	26	ROUND	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	27	FLOOR	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	28	MARCH	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	29	REACH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	30	PHASE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	31	DREAM	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	32	RANGE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	33	INDEX	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	34	ENEMY	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	35	TITLE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	36	FIELD	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	37	PIECE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	38	SPOKE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	39	TRUCK	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	40	LEAVE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	41	MONTH	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	42	BLOOD	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	43	SHARE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	44	DROVE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	45	SCALE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	46	UNCLE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	47	GRASS	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	48	STAND	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	49	EMPTY	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	50	MUSIC	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	51	MOUTH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	52	KNIFE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	53	HORSE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	54	FLESH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	55	PRESS	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	56	PEACE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	57	SIGHT	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	58	MEANS	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	59	WHEEL	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	60	LOOSE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	61	DRIVE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	62	MIGHT	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	63	UNDER	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	64	LATIN	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	65	SMITH	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	66	WHITE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	67	STYLE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	68	FIGHT	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	69	LEVEL	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	70	TODAY	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	71	TABLE	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	72	TRUST	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	73	SPEED	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	74	SWEET	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	75	STOCK	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	76	WHILE	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	77	RIGHT	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	78	WRONG	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	79	START	Silent	Purple	0	SPOKE	old	m	.	    0.00
4	80	STORY	Aloud	Green	0	SPOKE	old	m	.	    0.00
4	80	STORY	Aloud	Green	1	SHARE	old	m	m	2327
4	80	STORY	Aloud	Green	2	QUIET	new	n	n	2316
4	80	STORY	Aloud	Green	3	WHEEL	old	m	m	985
4	80	STORY	Aloud	Green	4	RIGHT	old	m	m	595
4	80	STORY	Aloud	Green	5	GREEN	new	n	n	2254
4	80	STORY	Aloud	Green	6	SPOKE	old	m	n	924
4	80	STORY	Aloud	Green	7	WOMEN	new	n	n	706
4	80	STORY	Aloud	Green	8	OFFER	new	n	n	664
4	80	STORY	Aloud	Green	9	STILL	old	m	m	772
4	80	STORY	Aloud	Green	10	TRUST	old	m	m	552
4	80	STORY	Aloud	Green	11	HEART	new	n	n	1387
4	80	STORY	Aloud	Green	12	LEWIS	new	n	n	678
4	80	STORY	Aloud	Green	13	FRAME	new	n	n	725
4	80	STORY	Aloud	Green	14	FIGHT	old	m	n	672
4	80	STORY	Aloud	Green	15	WHILE	old	m	m	575
4	80	STORY	Aloud	Green	16	DRINK	old	m	n	1098
4	80	STORY	Aloud	Green	17	WATER	new	n	n	910
4	80	STORY	Aloud	Green	18	MONEY	old	m	m	540
4	80	STORY	Aloud	Green	19	LOOSE	old	m	m	673
4	80	STORY	Aloud	Green	20	ROUND	old	m	n	742
4	80	STORY	Aloud	Green	21	VISIT	new	n	n	787
4	80	STORY	Aloud	Green	22	IMAGE	new	n	n	973
4	80	STORY	Aloud	Green	23	SHORT	new	n	m	673
4	80	STORY	Aloud	Green	24	SPACE	new	n	n	831
4	80	STORY	Aloud	Green	25	GROUP	new	n	n	575
4	80	STORY	Aloud	Green	26	LEAST	new	n	n	666
4	80	STORY	Aloud	Green	27	SENSE	old	m	n	1737
4	80	STORY	Aloud	Green	28	INNER	new	n	n	693
4	80	STORY	Aloud	Green	29	SWEET	old	m	m	1123
4	80	STORY	Aloud	Green	30	SOUND	new	n	n	952
4	80	STORY	Aloud	Green	31	SOUTH	new	n	n	659
4	80	STORY	Aloud	Green	32	EQUAL	new	n	n	577
4	80	STORY	Aloud	Green	33	THING	new	n	n	1092
4	80	STORY	Aloud	Green	34	TRUTH	new	n	m	1019
4	80	STORY	Aloud	Green	35	ORDER	new	n	n	860
4	80	STORY	Aloud	Green	36	SHAPE	old	m	m	643
4	80	STORY	Aloud	Green	37	STYLE	old	m	n	715
4	80	STORY	Aloud	Green	38	HOTEL	old	m	m	1143
