TRIAL_SESSION	TRIAL_INDEX_ENCODING	TRIAL_WORD_ENCODING	TRIAL_CONDITION_ENCODING	TRIAL_COLOUR_ENCODING	TRIAL_INDEX_RECOG	wordrecog_1	condition_1	correctanswer_1	KEYPRESS_RECOG	RT_RECOG
1	1	WOMAN	Silent	Green	0	STATE	old	m	.	    0.00
1	2	PARTY	Aloud	Purple	0	STATE	old	m	.	    0.00
1	3	IMAGE	Silent	Green	0	STATE	old	m	.	    0.00
1	4	TRUTH	Aloud	Purple	0	STATE	old	m	.	    0.00
1	5	SHORT	Silent	Green	0	STATE	old	m	.	    0.00
1	6	SMILE	Silent	Green	0	STATE	old	m	.	    0.00
1	7	NORTH	Silent	Green	0	STATE	old	m	.	    0.00
1	8	POINT	Aloud	Purple	0	STATE	old	m	.	    0.00
1	9	LOUIS	Silent	Green	0	STATE	old	m	.	    0.00
1	10	PLANE	Aloud	Purple	0	STATE	old	m	.	    0.00
1	11	FRAME	Aloud	Purple	0	STATE	old	m	.	    0.00
1	12	GROSS	Silent	Green	0	STATE	old	m	.	    0.00
1	13	RADIO	Aloud	Purple	0	STATE	old	m	.	    0.00
1	14	NOVEL	Aloud	Purple	0	STATE	old	m	.	    0.00
1	15	LIGHT	Silent	Green	0	STATE	old	m	.	    0.00
1	16	JUDGE	Silent	Green	0	STATE	old	m	.	    0.00
1	17	GLASS	Aloud	Purple	0	STATE	old	m	.	    0.00
1	18	MAJOR	Silent	Green	0	STATE	old	m	.	    0.00
1	19	MORAL	Aloud	Purple	0	STATE	old	m	.	    0.00
1	20	STATE	Aloud	Purple	0	STATE	old	m	.	    0.00
1	21	ORDER	Silent	Green	0	STATE	old	m	.	    0.00
1	22	EIGHT	Aloud	Purple	0	STATE	old	m	.	    0.00
1	23	METAL	Aloud	Purple	0	STATE	old	m	.	    0.00
1	24	HOUSE	Silent	Green	0	STATE	old	m	.	    0.00
1	25	GUESS	Aloud	Purple	0	STATE	old	m	.	    0.00
1	26	QUIET	Silent	Green	0	STATE	old	m	.	    0.00
1	27	OFFER	Aloud	Purple	0	STATE	old	m	.	    0.00
1	28	GREEK	Silent	Green	0	STATE	old	m	.	    0.00
1	29	UNITY	Aloud	Purple	0	STATE	old	m	.	    0.00
1	30	SPITE	Silent	Green	0	STATE	old	m	.	    0.00
1	31	TOUCH	Silent	Green	0	STATE	old	m	.	    0.00
1	32	SEVEN	Silent	Green	0	STATE	old	m	.	    0.00
1	33	TRADE	Silent	Green	0	STATE	old	m	.	    0.00
1	34	ISSUE	Aloud	Purple	0	STATE	old	m	.	    0.00
1	35	MODEL	Silent	Green	0	STATE	old	m	.	    0.00
1	36	SHORE	Silent	Green	0	STATE	old	m	.	    0.00
1	37	LEWIS	Aloud	Purple	0	STATE	old	m	.	    0.00
1	38	SMALL	Aloud	Purple	0	STATE	old	m	.	    0.00
1	39	SPACE	Aloud	Purple	0	STATE	old	m	.	    0.00
1	40	NIGHT	Aloud	Purple	0	STATE	old	m	.	    0.00
1	41	LOCAL	Aloud	Purple	0	STATE	old	m	.	    0.00
1	42	EVENT	Aloud	Purple	0	STATE	old	m	.	    0.00
1	43	SOLID	Silent	Green	0	STATE	old	m	.	    0.00
