TRIAL_SESSION	TRIAL_INDEX_ENCODING	TRIAL_WORD_ENCODING	TRIAL_CONDITION_ENCODING	TRIAL_COLOUR_ENCODING	TRIAL_INDEX_RECOG	wordrecog_1	condition_1	correctanswer_1	KEYPRESS_RECOG	RT_RECOG
2	1	INNER	Aloud	Green	0	STATE	old	m	.	    0.00
2	2	LIGHT	Silent	Purple	0	STATE	old	m	.	    0.00
2	3	HEART	Aloud	Green	0	STATE	old	m	.	    0.00
2	4	NORTH	Aloud	Green	0	STATE	old	m	.	    0.00
2	5	YOUTH	Silent	Purple	0	STATE	old	m	.	    0.00
2	6	SPITE	Silent	Purple	0	STATE	old	m	.	    0.00
2	7	VISIT	Silent	Purple	0	STATE	old	m	.	    0.00
2	8	MINOR	Silent	Purple	0	STATE	old	m	.	    0.00
2	9	QUICK	Silent	Purple	0	STATE	old	m	.	    0.00
2	10	PAPER	Aloud	Green	0	STATE	old	m	.	    0.00
2	11	TRUTH	Aloud	Green	0	STATE	old	m	.	    0.00
2	12	LEWIS	Aloud	Green	0	STATE	old	m	.	    0.00
2	13	RADIO	Silent	Purple	0	STATE	old	m	.	    0.00
2	14	OTHER	Silent	Purple	0	STATE	old	m	.	    0.00
2	15	PLANE	Silent	Purple	0	STATE	old	m	.	    0.00
2	16	THEME	Silent	Purple	0	STATE	old	m	.	    0.00
2	17	GLASS	Silent	Purple	0	STATE	old	m	.	    0.00
2	18	RIFLE	Silent	Purple	0	STATE	old	m	.	    0.00
2	19	SCORE	Aloud	Green	0	STATE	old	m	.	    0.00
2	20	TEETH	Silent	Purple	0	STATE	old	m	.	    0.00
2	21	EXTRA	Aloud	Green	0	STATE	old	m	.	    0.00
2	22	ORDER	Aloud	Green	0	STATE	old	m	.	    0.00
2	23	NIGHT	Aloud	Green	0	STATE	old	m	.	    0.00
2	24	HOUSE	Aloud	Green	0	STATE	old	m	.	    0.00
2	25	VOICE	Aloud	Green	0	STATE	old	m	.	    0.00
2	26	LEAST	Aloud	Green	0	STATE	old	m	.	    0.00
2	27	THING	Aloud	Green	0	STATE	old	m	.	    0.00
2	28	TRIAL	Silent	Purple	0	STATE	old	m	.	    0.00
2	29	EIGHT	Silent	Purple	0	STATE	old	m	.	    0.00
2	30	LOCAL	Aloud	Green	0	STATE	old	m	.	    0.00
2	31	SHORT	Silent	Purple	0	STATE	old	m	.	    0.00
2	32	SEVEN	Silent	Purple	0	STATE	old	m	.	    0.00
2	33	STATE	Silent	Purple	0	STATE	old	m	.	    0.00
2	34	VALUE	Silent	Purple	0	STATE	old	m	.	    0.00
2	35	NOVEL	Aloud	Green	0	STATE	old	m	.	    0.00
