study_word	study_cue	study_instruction
IRONY	Exes.png	silent
JUDGE	Plus.png	prod
MORAL	Check.png	check
ELEVATOR	Plus.png	prod
DELAY	Exes.png	silent
ANIMAL	Exes.png	silent
ABSENCE	Plus.png	prod
INTERVAL	Plus.png	prod
AMOUNT	Exes.png	silent
VECTOR	Plus.png	prod
MONUMENT	Check.png	check
WRITING	Exes.png	silent
GIANT	Check.png	check
QUIET	Check.png	check
NATION	Check.png	check
CURTAIN	Plus.png	prod
WISE	Exes.png	silent
MYTH	Check.png	check
JUMP	Exes.png	silent
CROP	Plus.png	prod
CANDY	Exes.png	silent
VENT	Exes.png	silent
JUSTICE	Check.png	check
TALENT	Check.png	check
KNIGHT	Check.png	check
CURRENT	Plus.png	prod
GROUND	Check.png	check
GRASS	Plus.png	prod
DEPOT	Exes.png	silent
SWIFT	Check.png	check
NECK	Check.png	check
DEFEAT	Exes.png	silent
LATIN	Exes.png	silent
QUOTE	Check.png	check
LAMP	Check.png	check
UTILITY	Check.png	check
INCOME	Check.png	check
ORDER	Plus.png	prod
PROSE	Exes.png	silent
FRUIT	Exes.png	silent
MUSCLE	Check.png	check
CASH	Exes.png	silent
LABEL	Exes.png	silent
RAIL	Plus.png	prod
DEAR	Check.png	check
MOVE	Plus.png	prod
KNOCK	Check.png	check
DEAL	Check.png	check
YARN	Plus.png	prod
VARIABLE	Exes.png	silent
USAGE	Exes.png	silent
GOLF	Exes.png	silent
GAIN	Plus.png	prod
WOOL	Plus.png	prod
ZERO	Check.png	check
RAID	Check.png	check
PAPER	Plus.png	prod
QUALITY	Exes.png	silent
OFFICER	Plus.png	prod
LAWN	Plus.png	prod
GATHER	Check.png	check
LAUGH	Plus.png	prod
NAME	Exes.png	silent
TAIL	Exes.png	silent
LENS	Check.png	check
RABBIT	Plus.png	prod
LIFT	Plus.png	prod
YIELD	Check.png	check
PASSION	Plus.png	prod
ZONE	Check.png	check
ACTOR	Exes.png	silent
CREST	Check.png	check
EDITION	Check.png	check
GENERAL	Check.png	check
KIND	Plus.png	prod
HARVEST	Exes.png	silent
DETAIL	Exes.png	silent
GATE	Exes.png	silent
INFANT	Check.png	check
DEAN	Exes.png	silent
EDGE	Check.png	check
GAZE	Plus.png	prod
WRONG	Check.png	check
OPERA	Exes.png	silent
UPPER	Plus.png	prod
GRADE	Exes.png	silent
EQUAL	Plus.png	prod
RACE	Plus.png	prod
INDEX	Plus.png	prod
URGENCY	Plus.png	prod
QUESTION	Exes.png	silent
NERVE	Plus.png	prod
JOINT	Check.png	check
JOURNEY	Plus.png	prod
MYSTERY	Exes.png	silent
DESIGN	Check.png	check
DICE	Plus.png	prod
KITCHEN	Plus.png	prod
ABSTRACT	Plus.png	prod
CURRENCY	Plus.png	prod
LACK	Check.png	check
ZINC	Exes.png	silent
HANDLE	Plus.png	prod
GHOST	Exes.png	silent
CUSTOMER	Check.png	check
GRADIENT	Exes.png	silent
NARROW	Check.png	check
ACADEMY	Check.png	check
ILLUSION	Exes.png	silent
JURY	Plus.png	prod
FRONT	Exes.png	silent
OPINION	Exes.png	silent
TACTICS	Plus.png	prod
LEAD	Plus.png	prod
ADDITION	Exes.png	silent
ACID	Plus.png	prod
NOISE	Exes.png	silent
IMPULSE	Check.png	check
LAUNCH	Check.png	check
REAL	Exes.png	silent
