study_word	study_cue	study_instruction
FRUIT	Exes.png	silent
GATE	Exes.png	silent
LIFT	Plus.png	prod
IMPULSE	Check.png	check
QUALITY	Exes.png	silent
NOISE	Exes.png	silent
TACTICS	Plus.png	prod
DEPOT	Exes.png	silent
KITCHEN	Plus.png	prod
PROSE	Exes.png	silent
LATIN	Exes.png	silent
QUIET	Check.png	check
RACE	Plus.png	prod
PAPER	Plus.png	prod
ADDITION	Exes.png	silent
ZONE	Check.png	check
WRITING	Exes.png	silent
UPPER	Plus.png	prod
NECK	Check.png	check
HANDLE	Plus.png	prod
DEFEAT	Exes.png	silent
MOVE	Plus.png	prod
FRONT	Exes.png	silent
GHOST	Exes.png	silent
EDITION	Check.png	check
CREST	Check.png	check
ORDER	Plus.png	prod
URGENCY	Plus.png	prod
GOLF	Exes.png	silent
USAGE	Exes.png	silent
JOURNEY	Plus.png	prod
VENT	Exes.png	silent
QUESTION	Exes.png	silent
LAMP	Check.png	check
WISE	Exes.png	silent
CANDY	Exes.png	silent
REAL	Exes.png	silent
DICE	Plus.png	prod
LAUGH	Plus.png	prod
EQUAL	Plus.png	prod
LAUNCH	Check.png	check
CURRENCY	Plus.png	prod
GAIN	Plus.png	prod
VECTOR	Plus.png	prod
KIND	Plus.png	prod
GROUND	Check.png	check
EDGE	Check.png	check
OFFICER	Plus.png	prod
LEAD	Plus.png	prod
NARROW	Check.png	check
ZINC	Exes.png	silent
YARN	Plus.png	prod
LACK	Check.png	check
JURY	Plus.png	prod
ACTOR	Exes.png	silent
ELEVATOR	Plus.png	prod
DETAIL	Exes.png	silent
PASSION	Plus.png	prod
KNIGHT	Check.png	check
RAIL	Plus.png	prod
TALENT	Check.png	check
LAWN	Plus.png	prod
WOOL	Plus.png	prod
ABSTRACT	Plus.png	prod
KNOCK	Check.png	check
MYTH	Check.png	check
AMOUNT	Exes.png	silent
JUSTICE	Check.png	check
CASH	Exes.png	silent
NERVE	Plus.png	prod
UTILITY	Check.png	check
HARVEST	Exes.png	silent
MONUMENT	Check.png	check
INCOME	Check.png	check
GIANT	Check.png	check
DEAL	Check.png	check
DELAY	Exes.png	silent
INDEX	Plus.png	prod
JUMP	Exes.png	silent
GENERAL	Check.png	check
NAME	Exes.png	silent
GRADIENT	Exes.png	silent
MUSCLE	Check.png	check
ACADEMY	Check.png	check
SWIFT	Check.png	check
RABBIT	Plus.png	prod
LENS	Check.png	check
ACID	Plus.png	prod
OPINION	Exes.png	silent
INFANT	Check.png	check
ZERO	Check.png	check
ILLUSION	Exes.png	silent
WRONG	Check.png	check
GAZE	Plus.png	prod
DESIGN	Check.png	check
GRADE	Exes.png	silent
DEAN	Exes.png	silent
CUSTOMER	Check.png	check
MYSTERY	Exes.png	silent
ANIMAL	Exes.png	silent
RAID	Check.png	check
JOINT	Check.png	check
INTERVAL	Plus.png	prod
LABEL	Exes.png	silent
GRASS	Plus.png	prod
MORAL	Check.png	check
VARIABLE	Exes.png	silent
CURRENT	Plus.png	prod
OPERA	Exes.png	silent
ABSENCE	Plus.png	prod
CROP	Plus.png	prod
TAIL	Exes.png	silent
YIELD	Check.png	check
CURTAIN	Plus.png	prod
IRONY	Exes.png	silent
QUOTE	Check.png	check
NATION	Check.png	check
JUDGE	Plus.png	prod
GATHER	Check.png	check
DEAR	Check.png	check
