study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
KITCHEN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
FRONT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
ZERO	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
GATHER	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
CUSTOMER	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
DEAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
GIANT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
ACADEMY	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
ABSTRACT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
MUSCLE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
CROP	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
INDEX	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
MONUMENT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
JOURNEY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
LATIN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
CURTAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
GHOST	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
FRUIT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
INTERVAL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
LABEL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
VENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
HANDLE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
NERVE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
LEAD	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
WOOL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
OPINION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
NAME	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
DEAN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
SWIFT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
LENS	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
NOISE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
KNOCK	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
WRONG	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
AMOUNT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
DEFEAT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
LAMP	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
TACTICS	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
ZONE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
DELAY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
YIELD	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
PASSION	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
EDITION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
CURRENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
QUOTE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
JUMP	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
CREST	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
QUIET	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
GATE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
GRADIENT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
TALENT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
ADDITION	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
GROUND	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
JOINT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
NATION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
DETAIL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
RAID	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
MORAL	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
