study_word	study_cue	study_instruction
JOURNAL	Check.png	check
GOLF	Plus.png	prod
LENS	Exes.png	silent
FUND	Check.png	check
VEHICLE	Check.png	check
HAIR	Check.png	check
CREST	Exes.png	silent
CURSE	Check.png	check
SWIFT	Exes.png	silent
OCEAN	Check.png	check
TAIL	Plus.png	prod
GLOBE	Check.png	check
EDITION	Exes.png	silent
GENIUS	Check.png	check
CANDY	Plus.png	prod
GIANT	Exes.png	silent
ZERO	Exes.png	silent
GATE	Plus.png	prod
IMPULSE	Exes.png	silent
DENTAL	Check.png	check
USAGE	Plus.png	prod
JUMP	Plus.png	prod
FRAME	Check.png	check
UTILITY	Exes.png	silent
ACTOR	Plus.png	prod
JUSTICE	Exes.png	silent
GRADE	Plus.png	prod
JAZZ	Check.png	check
VARIABLE	Plus.png	prod
ECONOMY	Check.png	check
WISE	Plus.png	prod
NEUTRAL	Check.png	check
ADDITION	Plus.png	prod
ONION	Check.png	check
WOOD	Check.png	check
YIELD	Exes.png	silent
ELBOW	Check.png	check
DEAN	Plus.png	prod
CASH	Plus.png	prod
QUALITY	Plus.png	prod
TALK	Check.png	check
OPINION	Plus.png	prod
ABANDON	Check.png	check
EDGE	Exes.png	silent
VENT	Plus.png	prod
LATIN	Plus.png	prod
ZONE	Exes.png	silent
ZINC	Plus.png	prod
WRITING	Plus.png	prod
INFANT	Exes.png	silent
ADVICE	Check.png	check
MORAL	Exes.png	silent
PROSE	Plus.png	prod
PARK	Check.png	check
DEPTH	Check.png	check
HARVEST	Plus.png	prod
REAL	Plus.png	prod
KNOCK	Exes.png	silent
OPERA	Plus.png	prod
ACADEMY	Exes.png	silent
MOUTH	Check.png	check
GRADIENT	Plus.png	prod
LABEL	Plus.png	prod
DEPOT	Plus.png	prod
UNIT	Check.png	check
ANIMAL	Plus.png	prod
ITEM	Check.png	check
DESIRE	Check.png	check
MYTH	Exes.png	silent
LAUNCH	Exes.png	silent
QUOTE	Exes.png	silent
INCOME	Exes.png	silent
LACK	Exes.png	silent
QUIET	Exes.png	silent
PASTE	Check.png	check
GHOST	Plus.png	prod
SURPRISE	Check.png	check
AMOUNT	Plus.png	prod
JEAN	Check.png	check
DESIGN	Exes.png	silent
GUEST	Check.png	check
ELITE	Check.png	check
UPRIGHT	Check.png	check
MONUMENT	Exes.png	silent
WRONG	Exes.png	silent
MUSCLE	Exes.png	silent
NOISE	Plus.png	prod
INPUT	Check.png	check
DECADE	Check.png	check
DEFEAT	Plus.png	prod
GOSPEL	Check.png	check
MYSTERY	Plus.png	prod
VACUUM	Check.png	check
NATION	Exes.png	silent
DEBUT	Check.png	check
GROUND	Exes.png	silent
JUNIOR	Check.png	check
ILLUSION	Plus.png	prod
NARROW	Exes.png	silent
FUTURE	Check.png	check
NECK	Exes.png	silent
GENERAL	Exes.png	silent
RAID	Exes.png	silent
GATHER	Exes.png	silent
QUARTER	Check.png	check
DEAR	Exes.png	silent
LAMP	Exes.png	silent
IRONY	Plus.png	prod
JOINT	Exes.png	silent
TALENT	Exes.png	silent
NAME	Plus.png	prod
CUSTOMER	Exes.png	silent
DELAY	Plus.png	prod
SYSTEM	Check.png	check
QUESTION	Plus.png	prod
FRUIT	Plus.png	prod
DETAIL	Plus.png	prod
DEAL	Exes.png	silent
FRONT	Plus.png	prod
KNIGHT	Exes.png	silent
