study_word	study_cue	study_instruction
OCEAN	Check.png	check
RAID	Exes.png	silent
DEPTH	Check.png	check
OPERA	Plus.png	prod
INCOME	Exes.png	silent
NECK	Exes.png	silent
MORAL	Exes.png	silent
PARK	Check.png	check
HAIR	Check.png	check
FUTURE	Check.png	check
EDGE	Exes.png	silent
HARVEST	Plus.png	prod
UNIT	Check.png	check
JUSTICE	Exes.png	silent
QUIET	Exes.png	silent
EDITION	Exes.png	silent
FRAME	Check.png	check
DESIGN	Exes.png	silent
ADDITION	Plus.png	prod
ONION	Check.png	check
WISE	Plus.png	prod
ZERO	Exes.png	silent
QUARTER	Check.png	check
DEAN	Plus.png	prod
LABEL	Plus.png	prod
AMOUNT	Plus.png	prod
WOOD	Check.png	check
ADVICE	Check.png	check
DETAIL	Plus.png	prod
MYTH	Exes.png	silent
CREST	Exes.png	silent
ELITE	Check.png	check
SYSTEM	Check.png	check
NARROW	Exes.png	silent
ACTOR	Plus.png	prod
INFANT	Exes.png	silent
GRADIENT	Plus.png	prod
GENIUS	Check.png	check
ZONE	Exes.png	silent
LAUNCH	Exes.png	silent
JUNIOR	Check.png	check
DENTAL	Check.png	check
DEBUT	Check.png	check
UTILITY	Exes.png	silent
OPINION	Plus.png	prod
FUND	Check.png	check
CANDY	Plus.png	prod
GOLF	Plus.png	prod
TAIL	Plus.png	prod
GIANT	Exes.png	silent
KNIGHT	Exes.png	silent
GATHER	Exes.png	silent
DEFEAT	Plus.png	prod
MUSCLE	Exes.png	silent
WRITING	Plus.png	prod
WRONG	Exes.png	silent
LATIN	Plus.png	prod
UPRIGHT	Check.png	check
JAZZ	Check.png	check
ITEM	Check.png	check
FRUIT	Plus.png	prod
LACK	Exes.png	silent
ZINC	Plus.png	prod
MONUMENT	Exes.png	silent
ILLUSION	Plus.png	prod
ABANDON	Check.png	check
QUESTION	Plus.png	prod
CASH	Plus.png	prod
DECADE	Check.png	check
MOUTH	Check.png	check
FRONT	Plus.png	prod
GRADE	Plus.png	prod
VACUUM	Check.png	check
ELBOW	Check.png	check
JEAN	Check.png	check
SWIFT	Exes.png	silent
JUMP	Plus.png	prod
GLOBE	Check.png	check
VARIABLE	Plus.png	prod
IRONY	Plus.png	prod
INPUT	Check.png	check
KNOCK	Exes.png	silent
MYSTERY	Plus.png	prod
NOISE	Plus.png	prod
JOURNAL	Check.png	check
PASTE	Check.png	check
QUALITY	Plus.png	prod
VEHICLE	Check.png	check
QUOTE	Exes.png	silent
LAMP	Exes.png	silent
PROSE	Plus.png	prod
NATION	Exes.png	silent
SURPRISE	Check.png	check
GUEST	Check.png	check
GHOST	Plus.png	prod
GROUND	Exes.png	silent
ACADEMY	Exes.png	silent
YIELD	Exes.png	silent
IMPULSE	Exes.png	silent
GENERAL	Exes.png	silent
DEAR	Exes.png	silent
CUSTOMER	Exes.png	silent
NAME	Plus.png	prod
DEAL	Exes.png	silent
DEPOT	Plus.png	prod
ECONOMY	Check.png	check
JOINT	Exes.png	silent
CURSE	Check.png	check
REAL	Plus.png	prod
TALK	Check.png	check
GOSPEL	Check.png	check
VENT	Plus.png	prod
USAGE	Plus.png	prod
DESIRE	Check.png	check
ANIMAL	Plus.png	prod
LENS	Exes.png	silent
GATE	Plus.png	prod
NEUTRAL	Check.png	check
TALENT	Exes.png	silent
DELAY	Plus.png	prod
